speech,category,count,total_words,percent
trump-nc-speech,WltPt,1,3602,0.03
trump-announcesprezrun,WltPt,1,6358,0.02
trump-inaugural,WltPt,0,1459,0.0
trump-rnc,WltPt,0,4455,0.0
trump-victory,WltPt,0,1759,0.0
trump-rnc,WltTot,19,4455,0.43
trump-announcesprezrun,WltTot,25,6358,0.39
trump-inaugural,WltTot,5,1459,0.34
trump-nc-speech,WltTot,12,3602,0.33
trump-immigration-speech,WltTot,18,6885,0.26
trump-victory,WltTot,3,1759,0.17
trump-inaugural,WltTran,1,1459,0.07
trump-nc-speech,WltTran,1,3602,0.03
trump-announcesprezrun,WltTran,1,6358,0.02
trump-immigration-speech,WltTran,1,6885,0.01
trump-rnc,WltTran,0,4455,0.0
trump-victory,WltTran,0,1759,0.0
trump-inaugural,Work,4,1459,0.27
trump-victory,Work,3,1759,0.17
trump-nc-speech,Work,4,3602,0.11
trump-rnc,Work,4,4455,0.09
trump-announcesprezrun,Work,3,6358,0.05
trump-immigration-speech,Work,3,6885,0.04
trump-inaugural,Yes,1,1459,0.07
trump-announcesprezrun,Yes,2,6358,0.03
trump-immigration-speech,Yes,0,6885,0.0
trump-nc-speech,Yes,0,3602,0.0
trump-rnc,Yes,0,4455,0.0
trump-victory,Yes,0,1759,0.0
trump-inaugural,You,1,1459,0.07
trump-nc-speech,You,2,3602,0.06
trump-victory,You,1,1759,0.06
trump-announcesprezrun,You,1,6358,0.02
trump-rnc,You,1,4455,0.02
trump-immigration-speech,You,1,6885,0.01
